id,coordinate_x,coordinate_y,biomass
1,-108.647420,31.255100,21.28
2,-107.500000,31.700000,21.28
3,-108.047370,31.415100,25.53
4,-108.147900,30.445100,53.19
5,-108.043700,30.445100,42.55
6,-108.147900,30.355300,53.19
7,-108.043700,30.355300,42.55
8,-106.603168,29.589847,38.30
9,-106.499868,29.589847,31.91
10,-106.396568,29.589847,25.53
11,-106.499868,29.500047,31.91
12,-106.249250,27.585100,63.83
13,-106.249250,27.495300,63.83
14,-106.147750,27.495300,53.19
15,-106.046250,27.495300,53.19
Teseachi,-107.456040,28.896200,74.47
