patch_index,biomass
0,19.34
3,19.34
4,19.34
5,19.34
6,19.34
7,19.34
8,19.34
9,19.34
12,19.34
13,19.34
15,19.34
18,19.34
19,19.34
20,19.34
21,19.34
23,19.34
24,19.34
25,19.34
26,19.34
28,19.34
29,19.34
30,19.34
31,19.34
33,19.34
34,19.34
35,19.34
37,19.34
38,19.34
39,19.34
42,19.34
43,19.34
44,19.34
45,19.34
46,19.34
47,19.34
48,19.34
50,0.0
51,0.0
52,106.38
53,106.38
54,106.38
56,106.38
59,106.38
60,106.38
61,106.38
62,106.38
63,106.38
64,106.38
65,9.67
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
74,0.0
75,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
86,0.0
87,0.0
88,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
102,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
130,0.0
132,0.0
135,0.0
137,0.0
138,0.0
139,0.0
140,0.0
142,0.0
148,0.0
149,0.0
150,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
176,0.0
177,0.0
179,0.0
180,0.0
182,0.0
185,0.0
187,0.0
188,0.0
189,0.0
190,0.0
192,0.0
193,0.0
194,0.0
